Year,Month,Page path and screen class,Views
2026,03,/en/travel-and-recreation/passports/applying-for-or-renewing-an-irish-passport/,4760
2026,07,/en/social-welfare/supplementary-welfare-schemes/supplementary-welfare-allow/,4759
2026,02,/en/social-welfare/carers/carers-benefit/,4755
2026,01,/en/social-welfare/supplementary-welfare-schemes/additional-needs-payment/,4737
2026,03,/en/travel-and-recreation/motoring/motor-tax-and-insurance/motor-tax-rates/,4731
2026,02,/en/housing/housing-grants-and-schemes/housing-supports-for-older-people-and-people-with-disabilities/housing-adaptation-grant-for-people-with-disability/,4716
2026,01,/en/employment/unemployment-and-redundancy/employment-support-schemes/community-employment-scheme/,4715
2026,03,/en/health/health-services/dental-aural-and-optical-services/dental-services/,4699
2026,01,/en/travel-and-recreation/travel-to-ireland/customs-regulations-for-travellers/,4689
2026,01,/en/travel-and-recreation/traffic-and-parking/disabled-persons-parking-card/,4687
2026,04,/en/social-welfare/disability-and-illness/domiciliary-care-allowance/,4684
2026,01,/en/social-welfare/supplementary-welfare-schemes/rent-supplement/,4660
2026,05,/en/social-welfare/disability-and-illness/invalidity-pension/,4656
2026,03,/en/about/contact-us/,4631
2026,01,/en/housing/renting-a-home/tenants-rights-and-responsibilities/if-your-landlord-wants-you-to-leave/,4626
2026,07,/en/employment/employment-rights-and-conditions/leave-and-holidays/parents-leave/,4614
2026,04,/en/travel-and-recreation/motoring/buying-or-selling-a-vehicle/change-of-ownership/,4598
2026,02,/en/health/health-services/dental-aural-and-optical-services/dental-services/,4595
2026,04,/en/employment/employment-rights-and-conditions/leave-and-holidays/maternity-leave/,4590
2026,01,/en/health/medical-cards-and-gp-visit-cards/gp-visit-cards/,4580
2026,02,/en/health/health-services/health-services-for-older-people/fair-deal-scheme/,4568
2026,05,/en/social-welfare/families-and-children/maternity-benefit/,4564
2026,01,/en/social-welfare/carers/carers-support-grant/,4532
2026,02,/en/social-welfare/supplementary-welfare-schemes/additional-needs-payment/,4529
2026,03,/en/travel-and-recreation/motoring/buying-or-selling-a-vehicle/change-of-ownership/,4518
2026,02,/en/social-welfare/irish-social-welfare-system/personal-public-service-number/,4517
2026,03,/en/social-welfare/disability-and-illness/treatment-benefit-scheme/,4515
2026,06,/en/social-welfare/families-and-children/child-benefit/,4501
2026,02,/en/social-welfare/carers/carers-support-grant/,4493
2026,04,/en/social-welfare/carers/carers-support-grant/,4492
2026,06,/en/social-welfare/disability-and-illness/domiciliary-care-allowance/,4489
2026,04,/en/social-welfare/irish-social-welfare-system/public-services-card/,4484
2026,05,/en/social-welfare/carers/carers-benefit/,4481
2026,04,/en/social-welfare/irish-social-welfare-system/personal-public-service-number/,4475
2026,04,/en/money-and-tax/personal-finance/pensions/auto-enrolment/,4473
2026,01,/en/social-welfare/irish-social-welfare-system/claiming-a-social-welfare-payment/taxation-of-social-welfare-payments/,4469
2026,07,/en/social-welfare/families-and-children/child-benefit/,4467
2026,02,/en/travel-and-recreation/traffic-and-parking/disabled-persons-parking-card/,4466
2026,02,/en/travel-and-recreation/motoring/buying-or-selling-a-vehicle/change-of-ownership/,4453
2026,03,/en/moving-country/irish-citizenship/your-right-to-irish-citizenship/,4450
2026,05,/en/about/contact-us/,4441
2026,07,/en/education/primary-and-post-primary-education/attendance-and-discipline-in-schools/school-terms-in-primary-and-postprimary/,4432
2026,03,/en/health/health-services/addiction-treatment-services/drug-alcohol-addiction-services/,4413
2026,05,/en/social-welfare/irish-social-welfare-system/personal-public-service-number/,4405
2026,02,/en/travel-and-recreation/transport-and-disability/tax-relief-for-disabled-drivers-and-disabled-passengers/,4403
2026,05,/en/money-and-tax/personal-finance/pensions/auto-enrolment/,4383
